모델 종류,모델명,제품명,수리부품,수리비용
스마트폰,SM-F711N1BFKOO,갤럭시_Z_플립3,디스플레이(메인),"543,000"
스마트폰,SM-F711N1BFKOO,갤럭시_Z_플립3,디스플레이(서브),"130,000"
스마트폰,SM-F711N1BFKOO,갤럭시_Z_플립3,메인보드,"460,000"
스마트폰,SM-F711N1BFKOO,갤럭시_Z_플립3,배터리,"96,500"
스마트폰,SM-F711N1BFKOO,갤럭시_Z_플립3,카메라,"64,000"
스마트폰,SM-F711N1BFKOO,갤럭시_Z_플립3,후면케이스,"33,000"
스마트폰,SM-F741NZWAKOO,갤럭시_Z_플립6,디스플레이(메인),"542,000"
스마트폰,SM-F741NZWAKOO,갤럭시_Z_플립6,디스플레이(서브),"152,000"
스마트폰,SM-F741NZWAKOO,갤럭시_Z_플립6,메인보드,"554,000"
스마트폰,SM-F741NZWAKOO,갤럭시_Z_플립6,배터리,"130,000"
스마트폰,SM-F741NZWAKOO,갤럭시_Z_플립6,카메라,"82,000"
스마트폰,SM-F741NZWAKOO,갤럭시_Z_플립6,후면케이스,"40,000"
스마트폰,SM-F956NAKEKOO,갤럭시_Z_폴드6,디스플레이(메인),"859,000"
스마트폰,SM-F956NAKEKOO,갤럭시_Z_폴드6,디스플레이(서브),"196,000"
스마트폰,SM-F956NAKEKOO,갤럭시_Z_폴드6,메인보드,"566,000"
스마트폰,SM-F956NAKEKOO,갤럭시_Z_폴드6,배터리,"111,500"
스마트폰,SM-F956NAKEKOO,갤럭시_Z_폴드6,카메라,"75,500"
스마트폰,SM-F956NAKEKOO,갤럭시_Z_폴드6,후면케이스,"72,000"
스마트폰,SM-S928NLBNKOO,갤럭시_S24_ULTRA,디스플레이,"378,000"
스마트폰,SM-S928NLBNKOO,갤럭시_S24_ULTRA,메인보드,"622,000"
스마트폰,SM-S928NLBNKOO,갤럭시_S24_ULTRA,배터리,"67,500"
스마트폰,SM-S928NLBNKOO,갤럭시_S24_ULTRA,카메라,"110,900"
스마트폰,SM-S928NLBNKOO,갤럭시_S24_ULTRA,후면케이스,"74,000"
스마트폰,SM-S926NZYAKOO,갤럭시_S24+,디스플레이,"299,000"
스마트폰,SM-S926NZYAKOO,갤럭시_S24+,메인보드,"480,000"
스마트폰,SM-S926NZYAKOO,갤럭시_S24+,배터리,"67,500"
스마트폰,SM-S926NZYAKOO,갤럭시_S24+,카메라,"85,000"
스마트폰,SM-S926NZYAKOO,갤럭시_S24+,후면케이스,"54,000"
스마트폰,SM-S921NZYEKOO,갤럭시_S24,디스플레이,"251,000"
스마트폰,SM-S921NZYEKOO,갤럭시_S24,메인보드,"474,000"
스마트폰,SM-S921NZYEKOO,갤럭시_S24,배터리,"67,500"
스마트폰,SM-S921NZYEKOO,갤럭시_S24,카메라,"86,000"
스마트폰,SM-S921NZYEKOO,갤럭시_S24,후면케이스,"54,000"
노트북,NT960QHA-K,갤럭시_북5_PRO_360,디스플레이,"570,000"
노트북,NT960QHA-K,갤럭시_북5_PRO_360,배터리,"17,100"
노트북,NT960QHA-K,갤럭시_북5_PRO_360,키보드,"169,500"
노트북,NT960XMB-K,갤럭시_북4_EDGE,디스플레이,"507,000"
노트북,NT960XMB-K,갤럭시_북4_EDGE,배터리,"172,000"
노트북,NT960XMB-K,갤럭시_북4_EDGE,키보드,"167,500"
노트북,NT960XGK-KC71G,갤럭시_북4_PRO_16,디스플레이,"539,000"
노트북,NT960XGK-KC71G,갤럭시_북4_PRO_16,배터리,"171,000"
노트북,NT960XGK-KC71G,갤럭시_북4_PRO_16,키보드,"159,500"
노트북,NT960QGK-KD72S,갤럭시_북4_PRO_360,디스플레이,"571,000"
노트북,NT960QGK-KD72S,갤럭시_북4_PRO_360,배터리,"171,000"
노트북,NT960QGK-KD72S,갤럭시_북4_PRO_360,키보드,"494,000"
노트북,NT960XGL-XD94G,갤럭시_북4_ULTRA,디스플레이,"161,500"
노트북,NT960XGL-XD94G,갤럭시_북4_ULTRA,배터리,"172,000"
노트북,NT960XGL-XD94G,갤럭시_북4_ULTRA,키보드,"165,500"
TV,KQ85QNC850FXKR,NEO_QLED_8K_TV_85형(인치),디스플레이,"2,575,000"
TV,KQ85QNC850FXKR,NEO_QLED_8K_TV_85형(인치),케이블,"33,000"
TV,KQ85QNC850FXKR,NEO_QLED_8K_TV_85형(인치),리모컨,"40,000"
TV,KQ85QNC850FXKR,NEO_QLED_8K_TV_85형(인치),전원구성품,"9,000"
TV,KQ85LSA03AFXKR,프레임_TV_85형(인치),디스플레이,"1,437,000"
TV,KQ85LSA04AFXKR,프레임_TV_85형(인치),케이블,"32,666"
TV,KQ85LSA05AFXKR,프레임_TV_85형(인치),리모컨,"45,000"
TV,KQ85LSA06AFXKR,프레임_TV_85형(인치),전원구성품,"8,000"
TV,KQ43QNA90AFXKR,NEO_QLED_4K_TV_43형(인치),디스플레이,"623,000"
TV,KQ43QNA91AFXKR,NEO_QLED_4K_TV_43형(인치),케이블,"10,500"
